delta,std,mean,variable,method,lower,upper,median
-1.8484848484848484,0.04147200825141017,0.7048342083537985,order,taylor,0.6377427232391328,0.7721184651850247,0.7051873776897573
-1.8484848484848484,0.036800571468015415,0.6614019734109589,order,ipw,0.6013619498610582,0.7211359937173479,0.6610501886033064
-1.8484848484848484,0.0,0.6583717138964276,order,true,0.6583717138964276,0.6583717138964276,
-1.7878787878787878,0.04022006667909927,0.6947423498518188,order,taylor,0.6299764139883867,0.7599416066863026,0.6953355419699736
-1.7878787878787878,0.03603996611116264,0.656099444261844,order,ipw,0.5972925420251209,0.7147685553267233,0.6558586989790107
-1.7878787878787878,0.0,0.6535030290993944,order,true,0.6535030290993944,0.6535030290993944,
-1.7272727272727273,0.03898933358350572,0.6849395066571075,order,taylor,0.6224639615385589,0.7481114686224827,0.6856821413801226
-1.7272727272727273,0.03526560864864663,0.650724376088572,order,ipw,0.593172798081327,0.7083015890794294,0.6505650579389863
-1.7272727272727273,0.0,0.6482972819446142,order,true,0.6482972819446142,0.6482972819446142,
-1.6666666666666665,0.03778004222194582,0.6754256787696642,order,taylor,0.6152053658896498,0.7366280509935647,0.676441860478223
-1.6666666666666665,0.034478683698929216,0.6452875707809027,order,ipw,0.5890121028719824,0.7017465462611313,0.6451493883122741
-1.6666666666666665,0.0,0.6423321664686382,order,true,0.6423321664686382,0.6423321664686382,
-1.606060606060606,0.03659246669768692,0.666200866189489,order,taylor,0.6082006270416591,0.7254913537995488,0.6671479753145381
-1.606060606060606,0.033680494807534336,0.6398006778057286,order,ipw,0.584820607786069,0.6951158077642651,0.6395436576204767
-1.606060606060606,0.0,0.6368888437704012,order,true,0.6368888437704012,0.6368888437704012,
-1.5454545454545454,0.035426927260129096,0.657265068916582,order,taylor,0.6014497449945873,0.7147013770404348,0.6580326350911992
-1.5454545454545454,0.03287246580122174,0.6342761589516837,order,ipw,0.5806092063359398,0.6884226452210535,0.6338992823087428
-1.5454545454545454,0.0,0.6317592308195519,order,true,0.6317592308195519,0.6317592308195519,
-1.4848484848484849,0.034283796251596416,0.648618286950943,order,taylor,0.5945465916209909,0.7042581207162227,0.6490877940662461
-1.4848484848484849,0.03205614198376775,0.6287272429695197,order,ipw,0.576389500735088,0.6816811712454967,0.6284496831033023
-1.4848484848484849,0.0,0.6260234884942455,order,true,0.6260234884942455,0.6260234884942455,
-1.4242424242424243,0.033163504763507844,0.6402605202925723,order,taylor,0.5871178506411695,0.6942331892216134,0.6404608011304855
-1.4242424242424243,0.031233191291540365,0.6231678701243842,order,ipw,0.5721737593395131,0.6747364121610737,0.6231784388776205
-1.4242424242424243,0.0,0.6206454069181299,order,true,0.6206454069181299,0.6206454069181299,
-1.3636363636363635,0.03206655006258754,0.6321917689414697,order,taylor,0.5799286880583242,0.6846430268098759,0.6322202650046215
-1.3636363636363635,0.03040540554446774,0.6176126268482416,order,ipw,0.5679748649616799,0.6677003300148133,0.6178726887301955
-1.3636363636363635,0.0,0.6149245045278905,order,true,0.6149245045278905,0.6149245045278905,
-1.303030303030303,0.030993503841108137,0.624412032897635,order,taylor,0.5734338135341508,0.6753464009040326,0.6246875409335058
-1.303030303030303,0.029574701939988332,0.612076670857089,order,ipw,0.5636835300018914,0.6606636123185425,0.6124139367677446
-1.303030303030303,0.0,0.6100254073090303,order,true,0.6100254073090303,0.6100254073090303,
-1.2424242424242424,0.02994502133178855,0.6169213121610686,order,taylor,0.5677930854449003,0.6660520455462816,0.6174853829380833
-1.2424242424242424,0.028743124941129895,0.6065756472736706,order,ipw,0.5596036237983038,0.6536442335862964,0.6069405363564478
-1.2424242424242424,0.0,0.604779758468511,order,true,0.604779758468511,0.604779758468511,
-1.1818181818181817,0.028921851304986906,0.6097196067317704,order,taylor,0.5624169337884126,0.6572785599958297,0.6101586417302405
-1.1818181818181817,0.027912848701061522,0.6011255964672435,order,ipw,0.5554751471030142,0.6468553737026275,0.6016923968008763
-1.1818181818181817,0.0,0.5979235353379947,order,true,0.5979235353379947,0.5979235353379947,
-1.121212121212121,0.02792484692941116,0.6028069166097402,order,taylor,0.5573511751884644,0.648934154416843,0.6034655383014311
-1.121212121212121,0.027086180140196276,0.5957428544827906,order,ipw,0.5514355523862043,0.6403618997138764,0.5962327632714223
-1.121212121212121,0.0,0.5926207641487214,order,true,0.5926207641487214,0.5926207641487214,
-1.0606060606060606,0.02695497742278246,0.5961832417949782,order,taylor,0.552570924018614,0.6409352644735348,0.5965186972938075
-1.0606060606060606,0.026265562741784536,0.5904439470783425,order,ipw,0.5475380395505978,0.6339588738938747,0.5907328505042073
-1.0606060606060606,0.0,0.5862383601991411,order,true,0.5862383601991411,0.5862383601991411,
-1.0,0.02601334033958882,0.5898485822874843,order,taylor,0.5476948359451086,0.6330610740836811,0.5899066322476764
-1.0,0.02545358104989338,0.5852454785166067,order,ipw,0.5437460753116944,0.6275498494839712,0.5852378623358105
-1.0,0.0,0.58179893764679,order,true,0.58179893764679,0.58179893764679,
-0.9393939393939394,0.025101174231938223,0.5838029380872584,order,taylor,0.542718147806677,0.6252028927901879,0.5837209407852577
-0.9393939393939394,0.024652965730141616,0.5801640163624152,order,ipw,0.5396981082741521,0.6208410364701029,0.5800225019808258
-0.9393939393939394,0.0,0.5763794800761836,order,true,0.5763794800761836,0.5763794800761836,
-0.8787878787878789,0.024219871268392028,0.5780463091943008,order,taylor,0.5377140782308235,0.6176617797456302,0.5782847701453164
-0.8787878787878789,0.02386659887765289,0.5752159736178392,order,ipw,0.5353909364880174,0.6142588650388885,0.5755564395168229
-0.8787878787878789,0.0,0.572240906887324,order,true,0.572240906887324,0.572240906887324,
-0.8181818181818183,0.023370989196362407,0.5725786956086112,order,taylor,0.5334708996566505,0.6104415409070727,0.5729755156713356
-0.8181818181818183,0.023097519017106747,0.570417489580376,order,ipw,0.5316631132429989,0.6078322986997646,0.5708997892130832
-0.8181818181818183,0.0,0.5669055016197891,order,true,0.5669055016197891,0.5669055016197891,
-0.7575757575757573,0.022556261779717268,0.5674000973301898,order,taylor,0.5300876858258614,0.6037102498251987,0.5678717685168981
-0.7575757575757573,0.022348924926772828,0.5657843108355012,order,ipw,0.5288671259885634,0.6016211016667208,0.5665028976493947
-0.7575757575757573,0.0,0.5621709270424369,order,true,0.5621709270424369,0.5621709270424369,
-0.6969696969696968,0.021777606532819186,0.5625105143590364,order,taylor,0.5277659000205468,0.597828691116828,0.5632794671253929
-0.6969696969696968,0.0216241770273795,0.561331673793244,order,ipw,0.5268384729170431,0.5962897760007619,0.5621432981014984
-0.6969696969696968,0.0,0.5574797846508125,order,true,0.5574797846508125,0.5574797846508125,
-0.6363636363636362,0.021037128212750316,0.5579099466951513,order,taylor,0.524797627850325,0.5922792794940153,0.558232766242712
-0.6363636363636362,0.020926794613928247,0.5570741901503585,order,ipw,0.5239718698300383,0.5911761342734285,0.5573634472176163
-0.6363636363636362,0.0,0.5536125067709546,order,true,0.5536125067709546,0.5536125067709546,
-0.5757575757575757,0.02033711614614936,0.5535983943385342,order,taylor,0.521876555017803,0.5868608908266677,0.5535810516388777
-0.5757575757575757,0.020260446699938303,0.5530257366070505,order,ipw,0.5213083028755539,0.5861537785225649,0.5529000304022759
-0.5757575757575757,0.0,0.549289106641545,order,true,0.549289106641545,0.549289106641545,
-0.5151515151515151,0.019680033103036197,0.5495758572891852,order,taylor,0.5192460077084644,0.5822407003886441,0.5492625738134882
-0.5151515151515151,0.019628933745612833,0.5491993500927578,order,ipw,0.5189069543877319,0.581735769658448,0.5489636203421018
-0.5151515151515151,0.0,0.5446849943457468,order,true,0.5446849943457468,0.5446849943457468,
-0.4545454545454546,0.01906849316658116,0.5458423355471044,order,taylor,0.516814413398135,0.5777073546475191,0.5455875339824909
-0.4545454545454546,0.019036157153317912,0.5456071296623658,order,ipw,0.5165770400300759,0.5773798596688166,0.5453708557651091
-0.4545454545454546,0.0,0.5407277036014826,order,true,0.5407277036014826,0.5407277036014826,
-0.39393939393939403,0.018505226001680235,0.5423978291122917,order,taylor,0.5146773600146373,0.5735279434764388,0.542081664458542
-0.39393939393939403,0.018486073286290268,0.5422601461160629,order,ipw,0.5145373843858296,0.5733352601505162,0.5419589008115566
-0.39393939393939403,0.0,0.5370952971718619,order,true,0.5370952971718619,0.5370952971718619,
-0.33333333333333304,0.01799302524654039,0.5392423379847472,order,taylor,0.5128097369496633,0.5697002296116664,0.5391155733964249
-0.33333333333333304,0.017982629099088373,0.5391683602764927,order,ipw,0.512717109756941,0.5695940764262513,0.5390517953194693
-0.33333333333333304,0.0,0.534924693352757,order,true,0.534924693352757,0.534924693352757,
-0.2727272727272725,0.01753467960297734,0.5363758621644708,order,taylor,0.5095061307003215,0.5662067946261715,0.5360750408636817
-0.2727272727272725,0.01752967748342872,0.5363405507296463,order,ipw,0.5094600459140688,0.566154499622593,0.5360397867574314
-0.2727272727272725,0.0,0.5318489435517945,order,true,0.5318489435517945,0.5318489435517945,
-0.21212121212121193,0.0171328867129392,0.5337984016514624,order,taylor,0.506455406231702,0.5630476385199541,0.5337447908861825
-0.21212121212121193,0.017130872315861183,0.53378425170446,order,ipw,0.5064359248869007,0.5630258037512109,0.5337347138833317
-0.21212121212121193,0.0,0.5297371489418521,order,true,0.5297371489418521,0.5297371489418521,
-0.15151515151515138,0.01679015210786932,0.5315099564457223,order,taylor,0.5044590517255636,0.5601231107849426,0.5307808856389827
-0.15151515151515138,0.016789545993649478,0.5315057016333888,order,ipw,0.5044554433802795,0.5601159735195138,0.53077714152535
-0.15151515151515138,0.0,0.5276704904356654,order,true,0.5276704904356654,0.5276704904356654,
-0.09090909090909083,0.016508678244899364,0.5295105265472502,order,taylor,0.5039798938140182,0.5560559700261484,0.5293934877404449
-0.09090909090909083,0.016508575757199054,0.5295098028048372,order,ipw,0.5039791705710484,0.5560544468236741,0.5293927813133927
-0.09090909090909083,0.0,0.5253336345883967,order,true,0.5253336345883967,0.5253336345883967,
-0.030303030303030276,0.016290251493625313,0.5278001119560463,order,taylor,0.5020643201274289,0.5552508955075708,0.5278221378806767
-0.030303030303030276,0.016290248772145945,0.527800092390169,order,ipw,0.5020642997851679,0.5552509017236757,0.5278221024297087
-0.030303030303030276,0.0,0.5242954944887649,order,true,0.5242954944887649,0.5242954944887649,
0.030303030303030276,0.016136137268026228,0.5263787126721104,order,taylor,0.5003990658591672,0.55420832074375,0.5261646023331432
0.030303030303030276,0.0161361389031458,0.5263787250044296,order,ipw,0.5003990798614244,0.5542083208768321,0.5261646158369984
0.030303030303030276,0.0,0.5225687416103989,order,true,0.5225687416103989,0.5225687416103989,
0.09090909090909083,0.01604699456081756,0.5252463286954427,order,taylor,0.499051207207449,0.5538847713712117,0.5254485819543697
0.09090909090909083,0.01604700933256847,0.5252464668416134,order,ipw,0.4990511396896803,0.5538848994118271,0.5254484719210968
0.09090909090909083,0.0,0.5219368930922035,order,true,0.5219368930922035,0.5219368930922035,
0.15151515151515138,0.016022820317959978,0.5244029600260431,order,taylor,0.49809341937624263,0.5522332436963628,0.5243453082667298
0.15151515151515138,0.01602275384920018,0.5244027013125334,order,ipw,0.4980920410761574,0.5522330041667948,0.5243446113283692
0.15151515151515138,0.0,0.520835274335599,order,true,0.520835274335599,0.520835274335599,
0.21212121212121238,0.016062931191122166,0.5238486066639116,order,taylor,0.49816473351434215,0.5508314350241066,0.5240856517052941
0.21212121212121238,0.016062385554952315,0.5238454460059058,order,ipw,0.4981646742252976,0.5508279440415972,0.5240827498802477
0.21212121212121238,0.0,0.5204073369352271,order,true,0.5204073369352271,0.5204073369352271,
0.27272727272727293,0.016165985625659716,0.5235832686090484,order,taylor,0.49850132934078206,0.5507851122562285,0.5238297282443634
0.27272727272727293,0.016164075560783028,0.523571380690655,order,ipw,0.49849058911930855,0.5507672982065197,0.5238245105513515
0.27272727272727293,0.0,0.5200598847659941,order,true,0.5200598847659941,0.5200598847659941,
0.3333333333333335,0.016330043934793457,0.5236069458614532,order,taylor,0.49863608269053783,0.5496996971887339,0.5237367045605974
0.3333333333333335,0.0163252373557603,0.5235758859790955,order,ipw,0.49860965448251965,0.5496425291443725,0.5237190026799351
0.3333333333333335,0.0,0.5199877221935917,order,true,0.5199877221935917,0.5199877221935917,
0.39393939393939403,0.01655265919135238,0.5239196384211261,order,taylor,0.4990203131768698,0.5515116093442487,0.5239131370216616
0.39393939393939403,0.016542646600687428,0.5238530921759278,order,ipw,0.49896304643752937,0.5514009723327377,0.5238745606530052
0.39393939393939403,0.0,0.5202439251407525,order,true,0.5202439251407525,0.5202439251407525,
0.4545454545454546,0.016830988490900835,0.5245213462880671,order,taylor,0.49843529153683264,0.5532026843631366,0.5251292335029254
0.4545454545454546,0.016812582452895405,0.5243959377464873,order,ipw,0.4983838596048364,0.553041002424482,0.5249436182186165
0.4545454545454546,0.0,0.5212246355719302,order,true,0.5212246355719302,0.5212246355719302,
0.5151515151515151,0.01716191295228906,0.5254120694622764,order,taylor,0.4988652070408708,0.5553870374088836,0.5258157487023765
0.5151515151515151,0.01713097572657399,0.5251962367492174,order,ipw,0.4987165007969542,0.5551266323895271,0.5256114331722104
0.5151515151515151,0.0,0.5224490538558149,order,true,0.5224490538558149,0.5224490538558149,
0.5757575757575757,0.017542155649737226,0.5265918079437536,order,taylor,0.49973460079900345,0.5568737564099263,0.5271109452256793
0.5757575757575757,0.017493550930063693,0.5262447544921213,order,ipw,0.49948485185031405,0.5564607380733113,0.5267483293278057
0.5757575757575757,0.0,0.5237037393873711,order,true,0.5237037393873711,0.5237037393873711,
0.6363636363636367,0.017968388953211838,0.528060561732499,order,taylor,0.5003728436280827,0.559566657003102,0.5285967435235545
0.6363636363636367,0.017895952601951863,0.5275312905915839,order,ipw,0.5000120956154037,0.5588566180392129,0.5279175540966982
0.6363636363636367,0.0,0.5249067126626569,order,true,0.5249067126626569,0.5249067126626569,
0.6969696969696972,0.018437325719686162,0.5298183308285126,order,taylor,0.5008521983305456,0.5625220773103147,0.5302780515428951
0.6969696969696972,0.018333850322128982,0.5290447685355136,order,ipw,0.500306037989616,0.5615075523466222,0.5295498253459666
0.6969696969696972,0.0,0.5268721378110885,order,true,0.5268721378110885,0.5268721378110885,
0.7575757575757578,0.018945791717347903,0.5318651152317941,order,taylor,0.5015972637472367,0.5657797808464232,0.532578174055253
0.7575757575757578,0.018803020415789268,0.5307733307826499,order,ipw,0.5008051617111592,0.5643711915615751,0.5315947473727318
0.7575757575757578,0.0,0.5295675450167767,order,true,0.5295675450167767,0.5295675450167767,
0.8181818181818183,0.019490779096039138,0.534200914942344,order,taylor,0.5023567073483938,0.5693397676114278,0.5349149824820594
0.8181818181818183,0.019299405171357583,0.53270443836792,order,ipw,0.5014986279930522,0.5674352150931774,0.5334367400009637
0.8181818181818183,0.0,0.5306311005499814,order,true,0.5306311005499814,0.5306311005499814,
0.8787878787878789,0.020069482424561566,0.536825729960162,order,taylor,0.503395623653178,0.5732020376053283,0.5371645122270142
0.8787878787878789,0.019819152191253835,0.5348249739318863,order,ipw,0.5018283587370244,0.570684866970916,0.5353325497805048
0.8787878787878789,0.0,0.531940121007086,order,true,0.531940121007086,0.531940121007086,
0.9393939393939394,0.020679319798270715,0.5397395602852479,order,taylor,0.5049600379393279,0.5768905035726594,0.5397851697084908
0.9393939393939394,0.02035863737761246,0.5371213470526932,order,ipw,0.5029300492149946,0.5737487704439072,0.5372317553020312
0.9393939393939394,0.0,0.5344444231696142,order,true,0.5344444231696142,0.5344444231696142,
1.0,0.021317941906103907,0.5429424059176021,order,taylor,0.5064299408389132,0.5813418219666003,0.543143073638032
1.0,0.02091447524260591,0.5395796007335385,order,ipw,0.5037519865299593,0.5770823799839908,0.5398325505436046
1.0,0.0,0.5372865051794099,order,true,0.5372865051794099,0.5372865051794099,
1.0606060606060606,0.02198323191003994,0.5464342668572244,order,taylor,0.5090967285205718,0.5866934181998789,0.5462565228287382
1.0606060606060606,0.02148351997047883,0.5421855178893891,order,ipw,0.5055858625945076,0.5814703777677258,0.5421587963921689
1.0606060606060606,0.0,0.5394746849387464,order,true,0.5394746849387464,0.5394746849387464,
1.121212121212121,0.02267329870014414,0.5502151431041148,order,taylor,0.5116876702260886,0.5918310239592678,0.549650291589725
1.121212121212121,0.022062860157800263,0.544924726684894,order,ipw,0.5073730710323977,0.5853717275161131,0.5445261211018511
1.121212121212121,0.0,0.5418964304625001,order,true,0.5418964304625001,0.5418964304625001,
1.1818181818181817,0.02338646567863662,0.5542850346582733,order,taylor,0.5154413305110774,0.597269135918714,0.5535598896050413
1.1818181818181817,0.02264980957491686,0.5477828036022337,order,ipw,0.5097273699626597,0.5893782726760879,0.5470336309662012
1.1818181818181817,0.0,0.544287476606613,order,true,0.544287476606613,0.544287476606613,
1.2424242424242422,0.0241212567893071,0.5586439415197,order,taylor,0.5180300312484034,0.6029386909714322,0.558105373595502
1.2424242424242422,0.023241895723402985,0.5507453731633819,order,ipw,0.5122823358577434,0.5934741468504718,0.5500980253632625
1.2424242424242422,0.0,0.5484579552800171,order,true,0.5484579552800171,0.5484579552800171,
1.3030303030303028,0.02487638109968146,0.5632918636883948,order,taylor,0.5211829312735038,0.6088765585079315,0.5628926019661067
1.3030303030303028,0.023836847464186944,0.5537982032957143,order,ipw,0.5138992401640875,0.5975560476653182,0.553248284562209
1.3030303030303028,0.0,0.5509419699141128,order,true,0.5509419699141128,0.5509419699141128,
1.3636363636363633,0.02565071689031916,0.5682288011643577,order,taylor,0.5249964680497342,0.6145595145055508,0.5675393416013828
1.3636363636363633,0.02443258257994199,0.5569272954121811,order,ipw,0.5162233089786158,0.6016945586465987,0.5562142238991201
1.3636363636363633,0.0,0.5541086758814406,order,true,0.5541086758814406,0.5541086758814406,
1.4242424242424248,0.02644329591755317,0.5734547539475888,order,taylor,0.5290457897009767,0.6201496017881403,0.5730031972225735
1.4242424242424248,0.02502719581479408,0.5601189683757544,order,ipw,0.5186699183936647,0.6058790206883697,0.5595762083816924
1.4242424242424248,0.0,0.5577761497087238,order,true,0.5577761497087238,0.5577761497087238,
1.4848484848484853,0.027253288290935526,0.5789697220380879,order,taylor,0.5333308962272313,0.6276050785253809,0.57883226972651
1.4848484848484853,0.02561894769560203,0.5633599356304372,order,ipw,0.521160608760037,0.6093398996670006,0.5626399536328297
1.4848484848484853,0.0,0.560734319793402,order,true,0.560734319793402,0.560734319793402,
1.5454545454545459,0.028079988237126693,0.5847737054358553,order,taylor,0.5378609354232563,0.6354856413712001,0.5847431313495512
1.5454545454545459,0.026206254268882935,0.5666373749050263,order,ipw,0.5236849173925727,0.6138488699161043,0.5660308543371091
1.5454545454545459,0.0,0.5640427798495578,order,true,0.5640427798495578,0.5640427798495578,
1.6060606060606064,0.028922800898431977,0.5908667041408906,order,taylor,0.5426321140695377,0.6433522401358618,0.5908736708178204
1.6060606060606064,0.026787677772024218,0.5699389900279425,order,ipw,0.5260716923219122,0.618692866187668,0.5692438968104576
1.6060606060606064,0.0,0.56733316400638,order,true,0.56733316400638,0.56733316400638,
1.666666666666667,0.029781230227095633,0.5972487181531941,order,taylor,0.5472966949337559,0.6511868116443881,0.5971612445378145
1.666666666666667,0.0273619181839953,0.5732530645284336,order,ipw,0.5280233994723136,0.6229927616333103,0.5725059690282042
1.666666666666667,0.0,0.5710750472863492,order,true,0.5710750472863492,0.5710750472863492,
1.7272727272727275,0.03065486797726903,0.6039197474727658,order,taylor,0.5521204170101248,0.6593222142003062,0.6038166335281261
1.7272727272727275,0.0279278055584878,0.5765685068377542,order,ipw,0.5300076066065862,0.6272696128385536,0.5758451121507903
1.7272727272727275,0.0,0.5741637438237673,order,true,0.5741637438237673,0.5741637438237673,
1.787878787878788,0.03154338375812876,0.6108797920996055,order,taylor,0.5572255154801685,0.6679691795162943,0.6107193759216454
1.787878787878788,0.028484293022469572,0.5798748870400888,order,ipw,0.5320147855095329,0.6314991686218752,0.5792868103787594
1.787878787878788,0.0,0.5776363313610697,order,true,0.5776363313610697,0.5776363313610697,
1.8484848484848486,0.032446516088221175,0.6181288520337135,order,taylor,0.5626119903438869,0.6770989519644969,0.6177050016725198
1.8484848484848486,0.02903045031866051,0.5831624652537121,order,ipw,0.5340359917031416,0.63585622094474,0.5826831458165717
1.8484848484848486,0.0,0.5809273341564034,order,true,0.5809273341564034,0.5809273341564034,
1.9090909090909092,0.033364064378340746,0.6256669272750895,order,taylor,0.5686339939864099,0.6865013568024437,0.6254205875752048
1.9090909090909092,0.029565457776157874,0.5864222118451301,order,ipw,0.5360628812632793,0.6403885244374458,0.5858853742935877
1.9090909090909092,0.0,0.5839114026249331,order,true,0.5839114026249331,0.5839114026249331,
1.9696969696969697,0.03429588176479065,0.6334940178237336,order,taylor,0.5752157634912508,0.6961515541641304,0.6333833842797112
1.9696969696969697,0.030088600605457417,0.589645819790172,order,ipw,0.5380936284149322,0.6448480263547495,0.5890463410846247
1.9696969696969697,0.0,0.5870778961749,order,true,0.5870778961749,0.5870778961749,
2.0303030303030303,0.035241868714281824,0.6416101236796459,order,taylor,0.5815649642941181,0.7060768449965726,0.6415066613200924
2.0303030303030303,0.030599263429571193,0.5928257095940639,order,ipw,0.5401269433746463,0.6490285864461053,0.5919246690133192
2.0303030303030303,0.0,0.5903917526780259,order,true,0.5903917526780259,0.5903917526780259,
2.090909090909091,0.0362019673242442,0.6500152448428262,order,taylor,0.5880191520263996,0.7162772292997706,0.6499307581793621
2.090909090909091,0.031096924979783343,0.5959550272658614,order,ipw,0.5421438463999207,0.6528694339533155,0.5949868164907749
